iter	Passed	Remaining
0	1	116
1	4	196
2	5	168
3	6	151
4	7	144
5	8	137
6	9	127
7	10	119
8	11	113
9	12	108
10	12	104
11	13	100
12	14	97
13	15	97
14	17	100
15	18	98
16	19	95
17	20	92
18	21	90
19	21	87
20	22	85
21	23	83
22	24	83
23	25	81
24	26	79
25	27	77
26	28	76
27	30	79
28	32	79
29	33	77
30	34	76
31	35	74
32	35	72
33	36	71
34	37	69
35	38	68
36	39	66
37	39	65
38	40	63
39	42	63
40	43	62
41	44	61
42	45	60
43	46	58
44	47	57
45	48	56
46	48	55
47	49	53
48	50	52
49	51	51
50	52	50
51	53	48
52	53	47
53	54	46
54	56	46
55	58	46
56	59	44
57	60	43
58	61	42
59	62	41
60	62	40
61	63	39
62	64	38
63	65	36
64	66	35
65	67	34
66	68	33
67	69	32
68	71	32
69	73	31
70	75	30
71	76	29
72	77	28
73	79	27
74	80	26
75	81	25
76	82	24
77	83	23
78	85	22
79	86	21
80	87	20
81	88	19
82	89	18
83	90	17
84	91	16
85	92	15
86	93	13
87	93	12
88	94	11
89	95	10
90	96	9
91	97	8
92	98	7
93	100	6
94	101	5
95	102	4
96	103	3
97	103	2
98	104	1
99	105	0
